variant,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,kospi_ret5,kosdaq_slope
bma20+Kret5+Qslope,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.0059553978712621365,0.023637766770966333
bma20+Kret5+Qslope,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL,0.012503721345638635,0.008568346812179828
bma20+Kret5+Qslope,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX,0.04336808908039925,0.017745549217714776
bma20+Kret5+Qslope,train,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL,0.008043611652592774,0.008521575574434868
bma20+Kret5+Qslope,train,2023-05-31,356860,티엘비,2023-06-09,2023-07-21,0.12958426966292136,TRAIL,0.003727288660395984,0.0022319099317308294
bma20+Kret5+Qslope,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX,0.027433321787322548,0.012352762967399422
bma20+Kret5+Qslope,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.004619126692705253,0.01775911088690504
bma20+Kret5+Qslope,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL,0.029829266894552134,0.014915235614775929
bma20+Kret5+Qslope,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,0.0582927979674927,0.011477026391175342
Kma20+Qslope,pre,2012-09-26,123330,제닉,2012-10-08,2012-10-16,-0.123,STOP,-0.013666155347929185,0.013713662028822567
Kma20+Qslope,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.019034110984362872,0.005337741342443954
Kma20+Qslope,pre,2013-05-14,000320,노루홀딩스,2013-05-23,2013-06-05,-0.123,STOP,0.007409113004323698,0.012376433728865505
Kma20+Qslope,pre,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX,-0.0011291009799743773,0.0032180394979704897
Kma20+Qslope,pre,2013-10-04,099440,SMEC,2013-10-15,2013-10-17,-0.063,EARLY_FAIL,-0.005151146802702069,0.005961080282858826
Kma20+Qslope,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL,0.0026044978456937367,0.004216137272333671
Kma20+Qslope,pre,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,-0.0009032204480804017,0.007302885051533889
Kma20+Qslope,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.003211475123893165,0.014336378495605338
Kma20+Qslope,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,0.007079297000172496,0.010601077237220246
Kma20+Qslope,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP,-0.0005877167205405892,0.018155354339928795
Kma20+Qslope,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.012255153844572863,0.015236052820774379
Kma20+Qslope,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL,-0.006186852350651109,0.031941171584336334
Kma20+Qslope,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.004585237209339289,0.034602078332840895
Kma20+Qslope,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP,0.008659630886288279,0.0060377648953743625
Kma20+Qslope,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-13,-0.063,EARLY_FAIL,0.007111487934762856,0.009437098066775703
Kma20+Qslope,pre,2019-04-11,043370,평화정공,2019-04-19,2019-04-23,-0.063,EARLY_FAIL,0.008116816902557342,0.0031623529792126222
Kma20+Qslope,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP,0.02002365855537792,0.015882420484556244
Kma20+Qslope,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.014960367200815125,0.022860588712568217
Kma20+Qslope,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP,0.007873982216468605,0.00452156237090966
Kma20+Qslope,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,-0.004322617085288117,0.02301981949142466
Kma20+Qslope,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.0059553978712621365,0.023637766770966333
Kma20+Qslope,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL,0.012503721345638635,0.008568346812179828
Kma20+Qslope,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX,0.04336808908039925,0.017745549217714776
Kma20+Qslope,train,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL,0.008043611652592774,0.008521575574434868
Kma20+Qslope,train,2023-05-31,356860,티엘비,2023-06-09,2023-07-21,0.12958426966292136,TRAIL,0.003727288660395984,0.0022319099317308294
Kma20+Qslope,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX,0.027433321787322548,0.012352762967399422
Kma20+Qslope,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.004619126692705253,0.01775911088690504
Kma20+Qslope,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL,0.029829266894552134,0.014915235614775929
Kma20+Qslope,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,0.0582927979674927,0.011477026391175342
bma20+Kret5+Qret5,pre,2012-06-12,044380,주연테크,2012-06-20,2012-06-27,0.018021021021021023,TRAIL,0.040159719145547376,-0.014281836439094567
bma20+Kret5+Qret5,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.037184651261395,-0.004931939864609598
bma20+Kret5+Qret5,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.019034110984362872,0.005337741342443954
bma20+Kret5+Qret5,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL,0.0026044978456937367,0.004216137272333671
bma20+Kret5+Qret5,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.003211475123893165,0.014336378495605338
bma20+Kret5+Qret5,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,0.007079297000172496,0.010601077237220246
bma20+Kret5+Qret5,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.012255153844572863,0.015236052820774379
bma20+Kret5+Qret5,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP,0.02736375640204879,-0.005103341369722878
bma20+Kret5+Qret5,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX,0.032536060630755495,-0.012225470774565494
bma20+Kret5+Qret5,pre,2017-02-23,008700,아남전자,2017-03-06,2017-04-04,1.1008251366120219,TRAIL,0.01238807977558312,-0.0003187320967287295
bma20+Kret5+Qret5,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.004585237209339289,0.034602078332840895
bma20+Kret5+Qret5,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-13,-0.063,EARLY_FAIL,0.007111487934762856,0.009437098066775703
bma20+Kret5+Qret5,pre,2019-04-11,043370,평화정공,2019-04-19,2019-04-23,-0.063,EARLY_FAIL,0.008116816902557342,0.0031623529792126222
bma20+Kret5+Qret5,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP,0.02002365855537792,0.015882420484556244
bma20+Kret5+Qret5,pre,2020-04-07,270870,뉴트리,2020-04-16,2020-07-14,0.5187391304347826,MAX,0.039301509141476204,-0.025158655066577534
bma20+Kret5+Qret5,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.014960367200815125,0.022860588712568217
bma20+Kret5+Qret5,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP,0.007873982216468605,0.00452156237090966
bma20+Kret5+Qret5,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.0059553978712621365,0.023637766770966333
bma20+Kret5+Qret5,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL,0.012503721345638635,0.008568346812179828
bma20+Kret5+Qret5,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX,0.04336808908039925,0.017745549217714776
bma20+Kret5+Qret5,train,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL,0.008043611652592774,0.008521575574434868
bma20+Kret5+Qret5,train,2023-05-23,336570,원텍,2023-06-01,2023-08-28,0.6644816625916871,MAX,0.03520223849304922,-0.015223457454179863
bma20+Kret5+Qret5,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX,0.0029524432402130586,-0.01235368028930967
bma20+Kret5+Qret5,train,2024-12-12,285490,노바텍,2024-12-20,2024-12-26,-0.063,EARLY_FAIL,0.016491594487785893,-0.01770353824832253
bma20+Kret5+Qret5,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX,0.027433321787322548,0.012352762967399422
bma20+Kret5+Qret5,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL,0.029829266894552134,0.014915235614775929
bma20+Kret5+Qret5,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,0.0582927979674927,0.011477026391175342
bma20+Kslope,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.037184651261395,-0.004931939864609598
bma20+Kslope,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.019034110984362872,0.005337741342443954
bma20+Kslope,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,-0.0030049121621956994,-0.0006751013127392915
bma20+Kslope,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL,0.0026044978456937367,0.004216137272333671
bma20+Kslope,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.003211475123893165,0.014336378495605338
bma20+Kslope,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,0.007079297000172496,0.010601077237220246
bma20+Kslope,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP,-0.0005877167205405892,0.018155354339928795
bma20+Kslope,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.012255153844572863,0.015236052820774379
bma20+Kslope,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX,0.032536060630755495,-0.012225470774565494
bma20+Kslope,pre,2017-02-23,008700,아남전자,2017-03-06,2017-04-04,1.1008251366120219,TRAIL,0.01238807977558312,-0.0003187320967287295
bma20+Kslope,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL,-0.006186852350651109,0.031941171584336334
bma20+Kslope,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.004585237209339289,0.034602078332840895
bma20+Kslope,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-13,-0.063,EARLY_FAIL,0.007111487934762856,0.009437098066775703
bma20+Kslope,pre,2019-04-11,043370,평화정공,2019-04-19,2019-04-23,-0.063,EARLY_FAIL,0.008116816902557342,0.0031623529792126222
bma20+Kslope,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP,0.02002365855537792,0.015882420484556244
bma20+Kslope,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.014960367200815125,0.022860588712568217
bma20+Kslope,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP,0.007873982216468605,0.00452156237090966
bma20+Kslope,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,-0.004322617085288117,0.02301981949142466
bma20+Kslope,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.0059553978712621365,0.023637766770966333
bma20+Kslope,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL,0.012503721345638635,0.008568346812179828
bma20+Kslope,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX,0.04336808908039925,0.017745549217714776
bma20+Kslope,train,2023-05-31,356860,티엘비,2023-06-09,2023-07-21,0.12958426966292136,TRAIL,0.003727288660395984,0.0022319099317308294
bma20+Kslope,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX,0.027433321787322548,0.012352762967399422
bma20+Kslope,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.004619126692705253,0.01775911088690504
bma20+Kslope,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL,0.029829266894552134,0.014915235614775929
bma20+Kslope,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,0.0582927979674927,0.011477026391175342
bma20+Kslope+Qslope,pre,2012-09-26,123330,제닉,2012-10-08,2012-10-16,-0.123,STOP,-0.013666155347929185,0.013713662028822567
bma20+Kslope+Qslope,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.019034110984362872,0.005337741342443954
bma20+Kslope+Qslope,pre,2013-10-04,099440,SMEC,2013-10-15,2013-10-17,-0.063,EARLY_FAIL,-0.005151146802702069,0.005961080282858826
bma20+Kslope+Qslope,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL,0.0026044978456937367,0.004216137272333671
bma20+Kslope+Qslope,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.003211475123893165,0.014336378495605338
bma20+Kslope+Qslope,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,0.007079297000172496,0.010601077237220246
bma20+Kslope+Qslope,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP,-0.0005877167205405892,0.018155354339928795
bma20+Kslope+Qslope,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.012255153844572863,0.015236052820774379
bma20+Kslope+Qslope,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL,-0.006186852350651109,0.031941171584336334
bma20+Kslope+Qslope,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.004585237209339289,0.034602078332840895
bma20+Kslope+Qslope,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-13,-0.063,EARLY_FAIL,0.007111487934762856,0.009437098066775703
bma20+Kslope+Qslope,pre,2019-04-11,043370,평화정공,2019-04-19,2019-04-23,-0.063,EARLY_FAIL,0.008116816902557342,0.0031623529792126222
bma20+Kslope+Qslope,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP,0.02002365855537792,0.015882420484556244
bma20+Kslope+Qslope,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.014960367200815125,0.022860588712568217
bma20+Kslope+Qslope,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP,0.007873982216468605,0.00452156237090966
bma20+Kslope+Qslope,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,-0.004322617085288117,0.02301981949142466
bma20+Kslope+Qslope,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.0059553978712621365,0.023637766770966333
bma20+Kslope+Qslope,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL,0.012503721345638635,0.008568346812179828
bma20+Kslope+Qslope,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX,0.04336808908039925,0.017745549217714776
bma20+Kslope+Qslope,train,2023-05-31,356860,티엘비,2023-06-09,2023-07-21,0.12958426966292136,TRAIL,0.003727288660395984,0.0022319099317308294
bma20+Kslope+Qslope,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX,0.027433321787322548,0.012352762967399422
bma20+Kslope+Qslope,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.004619126692705253,0.01775911088690504
bma20+Kslope+Qslope,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL,0.029829266894552134,0.014915235614775929
bma20+Kslope+Qslope,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,0.0582927979674927,0.011477026391175342
